total_feed,total_harvest_weight,initial_age,fasting_avg,harvest_population,pond_length,total_seed_type,volume_ponds,pond_depth,total_live_shrimp,total_seed,pond_width,death_abw,target_cultivation_day,FCR,area,death_quantity
1882.7,835.09,0.0,1.0,835.09,44.72,0,2099.87232,1.4,514800.0,514800,33.54,0.0,120.0,2.254487540265121,1526.0,0.0
1412.557,1141.0,0.0,0.5507155923572717,1141.0,36.51,0,1000.0089,1.0,75000.0,75000,27.39,0.0,120.0,1.2379991235758108,1000.0,0.0
775.814,816.5,0.0,1.0,816.5,36.88,0,1530.1512,1.5,50000.0,50000,27.66,0.0,120.0,0.9501702388242498,1020.0,0.0
4079.5,3525.0,0.0,0.5507155923572717,3525.0,54.16,2,2199.9792,1.0,180000.0,180000,40.62,0.0,120.0,1.157304964539007,2200.0,0.0
279.0,220.0,0.0,0.5507155923572717,220.0,11.55,0,130.02990000000003,1.3,50000.0,50000,8.66,0.0,100.0,1.268181818181818,100.0,0.0
1714.5,1404.0,0.0,0.5507155923572717,1404.0,28.28,0,599.8188,1.0,79906.0,80000,21.21,16.08,120.0,1.2211538461538465,600.0,94.0
1575.5,1381.0,0.0,1.0,1381.0,40.0,2,1200.0,1.0,119801.0,120000,30.0,12.523333333333332,120.0,1.1408399710354815,1200.0,199.0
5618.0,1895.78,0.0,0.3255813953488372,1895.78,56.57,2,3600.39765,1.5,260000.0,260000,42.43,0.0,120.0,2.963424025994577,2600.0,0.0
6546.0,2322.84,0.0,1.0,2322.84,63.25,2,4499.921249999999,1.5,300000.0,300000,47.43,0.0,120.0,2.818101978612388,2600.0,0.0
4391.0,1700.56,0.0,1.0,1700.56,55.38,2,3449.8971000000006,1.5,230000.0,230000,41.53,0.0,120.0,2.5820906054476174,3000.0,0.0
3715.0,1026.46,0.0,0.5507155923572717,1026.46,52.92,2,3150.5922,1.5,210000.0,210000,39.69,0.0,120.0,3.619235040819905,2098.0,0.0
3688.0,1140.25,0.0,1.0,1140.25,54.16,2,3299.9688,1.5,220000.0,220000,40.62,0.0,120.0,3.2343784257838197,2200.0,0.0
4352.0,1536.21,0.0,1.0,1536.21,56.57,2,3600.39765,1.5,240000.0,240000,42.43,0.0,120.0,2.832946016495141,2400.0,0.0
3928.0,1241.44,0.0,1.0,1241.44,54.16,2,3299.9688,1.5,220000.0,220000,40.62,0.0,120.0,3.164067534476092,2200.0,0.0
3153.0,782.68,0.0,1.0,782.68,48.99,2,2699.8389,1.5,180000.0,180000,36.74,0.0,120.0,4.028466295293096,1800.0,0.0
4737.0,1139.48,0.0,0.5,1139.48,57.74,2,3700.21016,1.48,250000.0,250000,43.3,0.0,120.0,4.157159406044863,1000.0,0.0
1050.0,1008.0,0.0,1.0,1008.0,40.0,0,1620.0,1.0,99262.33333333331,100000,40.5,7.803333333333334,120.0,1.0416666666666667,500.0,737.6666666666666
174.15,134.0,0.0,1.0,134.0,10.71,0,86.0013,1.0,19942.8,20000,8.03,6.194,120.0,1.299626865671642,86.0,57.2
325.0,225.59,0.0,1.0,225.59,38.3,2,1319.9711999999995,1.2,97173.5,100000,28.72,3.0,120.0,1.440666696218804,1100.0,2826.5
624.167,547.6,0.0,0.5507155923572717,547.6,28.87,2,625.0355,1.0,55000.0,55000,21.65,0.0,120.0,1.1398228634039445,625.0,0.0
549.9110000000001,341.0,0.0,0.5507155923572717,341.0,28.87,2,625.0355,1.0,55000.0,55000,21.65,0.0,120.0,1.6126422287390032,625.0,0.0
1309.5,782.5,0.0,1.0,782.5,40.0,0,1200.0,1.0,100000.0,100000,30.0,0.0,120.0,1.673482428115016,1200.0,0.0
824.1,850.0,0.0,1.0,850.0,36.51,0,1000.0089,1.0,172000.0,172000,27.39,0.0,120.0,0.969529411764706,1000.0,0.0
750.5,355.0,0.0,1.0,355.0,40.0,0,1320.0,1.1,118300.0,120000,30.0,5.88,120.0,2.1140845070422536,1200.0,1700.0
1498.0,1174.5,0.0,1.0,1174.5,40.0,2,1620.0,1.0,91992.0,92000,40.5,16.95,120.0,1.275436355896126,500.0,8.0
296.0,224.48,0.0,1.0,224.48,10.71,0,86.0013,1.0,16070.0,16070,8.03,0.0,120.0,1.3186029935851746,86.0,0.0
1524.0,1350.0,0.0,1.0,1350.0,33.67,2,1275.25125,1.5,69984.2,70000,25.25,20.857,120.0,1.1288888888888888,735.0,15.8
4205.3,3207.96,0.0,0.5507155923572717,3207.96,41.52,2,1939.3992,1.5,132000.0,132000,31.14,0.0,120.0,1.3108953976982256,1293.0,0.0
10753.73,3637.1,0.0,0.5507155923572717,3637.1,61.02,2,4189.328100000001,1.5,299200.0,299200,45.77,0.0,120.0,2.956677022902862,2793.0,0.0
8228.17,5029.369999999999,0.0,0.5507155923572717,5029.369999999999,58.8,2,3889.62,1.5,272800.0,272800,44.1,0.0,120.0,1.6360239950530586,2593.0,0.0
10476.73,3323.04,0.0,0.5507155923572717,3323.04,62.14,2,4343.586,1.5,299200.0,299200,46.6,0.0,120.0,3.152754706533776,2896.0,0.0
23540.0,8344.99,0.0,0.5507155923572717,8344.99,91.31,2,9379.3632,1.5,651200.0,651200,68.48,0.0,120.0,2.820854189160203,6253.0,0.0
12930.0,4562.22,0.0,0.5507155923572717,4562.22,66.47,2,4970.29425,1.5,352000.0,352000,49.85,0.0,120.0,2.8341465339242737,3314.0,0.0
4393.53,2834.05,0.0,0.5507155923572717,2834.05,48.55,2,2651.55825,1.5,183500.0,183500,36.41,0.0,120.0,1.550265521074081,1768.0,0.0
722.4,377.3,0.0,0.5507155923572717,377.3,20.0,0,390.0,1.3,69000.0,69000,15.0,0.0,120.0,1.9146567717996288,300.0,0.0
3383.65,1757.85,0.0,0.5507155923572717,1757.85,20.0,0,390.0,1.3,600000.0,600000,15.0,0.0,120.0,1.92487982478596,300.0,0.0
1827.66,418.28,0.0,0.5507155923572717,418.28,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,4.3694654298556,300.0,0.0
1713.66,414.55,0.0,0.5507155923572717,414.55,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,4.133783620793632,300.0,0.0
1722.76,379.58,0.0,1.0,379.58,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,4.538595289530534,300.0,0.0
1912.96,367.7,0.0,1.0,367.7,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,5.202502039706283,300.0,0.0
1589.26,390.09,0.0,1.0,390.09,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,4.074085467456228,300.0,0.0
1708.31,426.68,0.0,1.0,426.68,20.0,0,390.0,1.3,66000.0,66000,15.0,0.0,120.0,4.003726446048561,300.0,0.0
1782.0,306.0,0.0,0.5507155923572717,306.0,46.19,1,1760.0237600000005,1.1,165000.0,165000,34.64,0.0,120.0,5.823529411764706,1600.0,0.0
